timestamp,region,demand,generation
2024-01-01T01,TEN,18427.0,17762.0
2024-01-01T01,TEPC,1610.0,1887.0
2024-01-01T01,TEX,45855.0,45806.0
2024-01-01T01,TIDC,271.0,195.0
2024-01-01T01,TPWR,619.0,390.0
2024-01-01T01,TVA,18427.0,17762.0
2024-01-01T01,US48,467883.0,466137.0
2024-01-01T01,WACM,3988.0,4715.0
2024-01-01T01,WALC,621.0,901.0
2024-01-01T01,WAUW,95.0,57.0
2024-01-01T02,AECI,3423.0,3131.0
2024-01-01T02,AVA,1657.0,1200.0
2024-01-01T02,AZPS,3632.0,2370.0
2024-01-01T02,BANC,1983.0,1686.0
2024-01-01T02,BPAT,7555.0,10508.0
2024-01-01T02,CAL,29413.0,23672.0
2024-01-01T02,CAR,26450.0,26264.0
2024-01-01T02,CENT,32432.0,33468.0
2024-01-01T02,CHPD,292.0,1372.0
2024-01-01T02,CISO,24138.0,19186.0
2024-01-01T02,CPLE,7454.0,6452.0
2024-01-01T02,CPLW,647.0,546.0
2024-01-01T02,DOPD,298.0,652.0
2024-01-01T02,DUK,12279.0,13862.0
2024-01-01T02,EPE,949.0,795.0
2024-01-01T02,ERCO,44887.0,44888.0
2024-01-01T02,FLA,25184.0,26069.0
2024-01-01T02,FMPP,1891.0,1833.0
2024-01-01T02,FPC,5988.0,4544.0
2024-01-01T02,FPL,12789.0,13945.0
2024-01-01T02,GCPD,683.0,1108.0
2024-01-01T02,GVL,221.0,183.0
2024-01-01T02,HST,54.0,0.0
2024-01-01T02,IID,326.0,588.0
2024-01-01T02,IPCO,2056.0,1682.0
2024-01-01T02,ISNE,14096.0,12416.0
2024-01-01T02,JEA,1510.0,950.0
2024-01-01T02,LDWP,2680.0,1986.0
2024-01-01T02,LGEE,4336.0,3756.0
2024-01-01T02,MIDA,91693.0,98043.0
2024-01-01T02,MIDW,79050.0,75593.0
2024-01-01T02,MISO,71291.0,68706.0
2024-01-01T02,NE,14096.0,12416.0
2024-01-01T02,NEVP,4337.0,3605.0
2024-01-01T02,NW,45242.0,44484.0
2024-01-01T02,NWMT,1566.0,2518.0
2024-01-01T02,NY,17509.0,15089.0
2024-01-01T02,NYIS,17509.0,15089.0
2024-01-01T02,PACE,6000.0,4810.0
2024-01-01T02,PACW,2718.0,338.0
2024-01-01T02,PGE,3005.0,1172.0
2024-01-01T02,PJM,91693.0,98043.0
2024-01-01T02,PNM,1827.0,1601.0
2024-01-01T02,PSCO,5512.0,5705.0
2024-01-01T02,PSEI,3554.0,1132.0
2024-01-01T02,SC,3293.0,2204.0
2024-01-01T02,SCEG,2777.0,3040.0
2024-01-01T02,SCL,1306.0,760.0
2024-01-01T02,SE,26671.0,27953.0
2024-01-01T02,SEC,235.0,1680.0
2024-01-01T02,SOCO,26671.0,27953.0
2024-01-01T02,SPA,26.0,254.0
2024-01-01T02,SRP,3282.0,7117.0
2024-01-01T02,SW,11973.0,15327.0
2024-01-01T02,SWPP,32406.0,33214.0
2024-01-01T02,TAL,303.0,354.0
2024-01-01T02,TEN,18262.0,17619.0
2024-01-01T02,TEPC,1655.0,1973.0
2024-01-01T02,TEX,44887.0,44888.0
2024-01-01T02,TIDC,286.0,226.0
2024-01-01T02,TPWR,643.0,448.0
2024-01-01T02,TVA,18262.0,17619.0
2024-01-01T02,US48,462862.0,460885.0
2024-01-01T02,WACM,3966.0,4625.0
2024-01-01T02,WALC,628.0,896.0
2024-01-01T02,WAUW,94.0,56.0
2024-01-01T03,AECI,3322.0,2981.0
2024-01-01T03,AVA,1604.0,1156.0
2024-01-01T03,AZPS,3535.0,2409.0
2024-01-01T03,BANC,1953.0,1742.0
2024-01-01T03,BPAT,7429.0,10542.0
2024-01-01T03,CAL,31224.0,25599.0
2024-01-01T03,CAR,26124.0,25904.0
2024-01-01T03,CENT,31986.0,33101.0
2024-01-01T03,CHPD,284.0,1373.0
2024-01-01T03,CISO,25999.0,21142.0
2024-01-01T03,CPLE,7423.0,6587.0
2024-01-01T03,CPLW,634.0,543.0
2024-01-01T03,DOPD,291.0,619.0
2024-01-01T03,DUK,12081.0,13504.0
2024-01-01T03,EPE,932.0,796.0
2024-01-01T03,ERCO,44012.0,44014.0
2024-01-01T03,FLA,24196.0,25134.0
2024-01-01T03,FMPP,1809.0,1758.0
2024-01-01T03,FPC,5784.0,4365.0
2024-01-01T03,FPL,12229.0,13276.0
2024-01-01T03,GCPD,675.0,1046.0
2024-01-01T03,GVL,215.0,175.0
2024-01-01T03,HST,49.0,0.0
2024-01-01T03,IID,322.0,590.0
2024-01-01T03,IPCO,2024.0,1651.0
2024-01-01T03,ISNE,13515.0,11790.0
2024-01-01T03,JEA,1499.0,946.0
2024-01-01T03,LDWP,2669.0,1932.0
2024-01-01T03,LGEE,4268.0,3680.0
2024-01-01T03,MIDA,89516.0,95660.0
2024-01-01T03,MIDW,77588.0,74670.0
2024-01-01T03,MISO,69998.0,68009.0
2024-01-01T03,NE,13515.0,11790.0
2024-01-01T03,NEVP,4271.0,3608.0
2024-01-01T03,NW,44354.0,44049.0
2024-01-01T03,NWMT,1557.0,2560.0
2024-01-01T03,NY,16945.0,14789.0
2024-01-01T03,NYIS,16945.0,14789.0
2024-01-01T03,PACE,5912.0,4795.0
2024-01-01T03,PACW,2640.0,331.0
2024-01-01T03,PGE,2914.0,1191.0
2024-01-01T03,PJM,89516.0,95660.0
2024-01-01T03,PNM,1816.0,1537.0
